Tweet,Time,Link,Media
Day 0.0: Arrived at Lodygin,2016-03-03 17:00:00,http://wenamethestars.inkleby.com/feature/3449,http://wenamethestars.inkleby.com/static/moon/0.png
Lodygin is named after Aleksandr Nikolaevich Lodygin - Russian inventor (1847 -1923).,2016-03-03 17:01:00,https://en.wikipedia.org/wiki/Alexander_Lodygin,
Day 0.5: Arrived at Murakami,2016-03-04 05:53:30.390000,http://wenamethestars.inkleby.com/feature/4070,http://wenamethestars.inkleby.com/static/moon/1.png
"Murakami is named after Harutaro Murakami - Japanese physicist, astronomer (1872 -1947).",2016-03-04 05:54:30.390000,https://en.wikipedia.org/wiki/Harutaro_Murakami,
Day 0.8: Arrived at Sternfeld,2016-03-04 11:17:19.230000,http://wenamethestars.inkleby.com/feature/5701,http://wenamethestars.inkleby.com/static/moon/2.png
Day 1.1: Arrived at Paschen,2016-03-04 19:36:35.460000,http://wenamethestars.inkleby.com/feature/4600,http://wenamethestars.inkleby.com/static/moon/3.png
Paschen is named after Friedrich Paschen - German physicist (1865 -1940).,2016-03-04 19:37:35.460000,https://en.wikipedia.org/wiki/Friedrich_Paschen,
Day 1.4: Arrived at Wan-Hoo (Van-Gu),2016-03-05 01:29:26.250000,http://wenamethestars.inkleby.com/feature/6484,http://wenamethestars.inkleby.com/static/moon/4.png
Day 1.7: Arrived at Evans,2016-03-05 10:12:57.240000,http://wenamethestars.inkleby.com/feature/1883,http://wenamethestars.inkleby.com/static/moon/5.png
Evans is named after Sir Arthur Evans - British archaeologist (1851 -1941).,2016-03-05 10:13:57.240000,https://en.wikipedia.org/wiki/Arthur_Evans,
Day 2.3: Arrived at Strömgren,2016-03-06 00:05:10.320000,http://wenamethestars.inkleby.com/feature/5728,http://wenamethestars.inkleby.com/static/moon/6.png
Strömgren is named after Elis Strömgren - Danish astronomer (1870 -1947).,2016-03-06 00:06:10.320000,https://en.wikipedia.org/wiki/Elis_Str%C3%B6mgren,
Day 2.5: Arrived at Von der Pahlen,2016-03-06 04:18:01.170000,http://wenamethestars.inkleby.com/feature/6439,http://wenamethestars.inkleby.com/static/moon/7.png
Von der Pahlen is named after Emanuel Pahlen - German astronomer (1882 -1952).,2016-03-06 04:19:01.170000,https://en.wikipedia.org/wiki/Emanuel_von_der_Pahlen,
Day 2.8: Arrived at Das,2016-03-06 11:27:43.920000,http://wenamethestars.inkleby.com/feature/1421,http://wenamethestars.inkleby.com/static/moon/8.png
Das is named after Amil Kumar Das - Indian astronomer (1902 -1961).,2016-03-06 11:28:43.920000,https://en.wikipedia.org/wiki/Amil_Kumar_Das,
Day 3.0: Arrived at Mariotte,2016-03-06 15:56:48.120000,http://wenamethestars.inkleby.com/feature/3713,http://wenamethestars.inkleby.com/static/moon/9.png
Mariotte is named after Edme Mariotte - French physicist (1620 -1684).,2016-03-06 15:57:48.120000,https://en.wikipedia.org/wiki/Edme_Mariotte,
Day 3.2: Arrived at Kleymenov,2016-03-06 21:39:16.830000,http://wenamethestars.inkleby.com/feature/3064,http://wenamethestars.inkleby.com/static/moon/10.png
Day 3.5: Arrived at Lovell,2016-03-07 04:19:57.090000,http://wenamethestars.inkleby.com/feature/3489,http://wenamethestars.inkleby.com/static/moon/11.png
"Lovell is named after James A., Jr. Lovell - American astronaut (1928 -Live).",2016-03-07 04:20:57.090000,"https://en.wikipedia.org/wiki/Lovell_Lawrence,_Jr",
Day 3.7: Arrived at Anders,2016-03-07 10:50:58.740000,http://wenamethestars.inkleby.com/feature/259,http://wenamethestars.inkleby.com/static/moon/12.png
